STOP_ID,DIRECTION_ID,STOP_NAME,STATION_NAME,STATION_DESCRIPTIVE_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,Latitude,Longitude,Number,Street,City,State,County,Zip
30258,S,Belmont (Loop-bound),Belmont,"Belmont (Red, Brown & Purple Lines)",41320,1,,,,1,,1,,,,"(41.939751, -87.65338)",41.939743,-87.653605,953,W Belmont Ave,Chicago,IL,Cook County,60657
30067,S,Berwyn (95th-bound),Berwyn,Berwyn (Red Line),40340,,1,,,,,,,,,"(41.977984, -87.658668)",41.977819,-87.65869,1121,W Berwyn Ave,Chicago,IL,Cook County,60640
30066,N,Berwyn (Howard-bound),Berwyn,Berwyn (Red Line),40340,,1,,,,,,,,,"(41.977984, -87.658668)",41.977819,-87.65869,1121,W Berwyn Ave,Chicago,IL,Cook County,60640
30268,S,Bryn Mawr (95th-bound),Bryn Mawr,Bryn Mawr (Red Line),41380,,1,,,,,,,,,"(41.983504, -87.65884)",41.98349,-87.658846,1119,W Bryn Mawr Ave,Chicago,IL,Cook County,60640
30267,N,Bryn Mawr (Howard-bound),Bryn Mawr,Bryn Mawr (Red Line),41380,,1,,,,,,,,,"(41.983504, -87.65884)",41.98349,-87.658846,1119,W Bryn Mawr Ave,Chicago,IL,Cook County,60640
30087,W,California (54th/Cermak-bound),California,California (Pink Line),40440,1,,,,,,,,1,,"(41.854109, -87.694774)",41.854064,-87.694536,1946,S Fairfield Ave,Chicago,IL,Cook County,60608
30086,E,California (Loop-bound),California,California (Pink Line),40440,1,,,,,,,,1,,"(41.854109, -87.694774)",41.854064,-87.694536,1946,S Fairfield Ave,Chicago,IL,Cook County,60608
30265,E,California (63rd-bound),California,California (Green Line),41360,1,,,1,,,,,,,"(41.88422, -87.696234)",41.884084,-87.696151,2759,W Lake St,Chicago,IL,Cook County,60612
30266,W,California (Harlem-bound),California,California (Green Line),41360,1,,,1,,,,,,,"(41.88422, -87.696234)",41.884084,-87.696151,2759,W Lake St,Chicago,IL,Cook County,60612
30054,E,Central (63rd-bound),Central,Central (Green Line),40280,1,,,1,,,,,,,"(41.887389, -87.76565)",41.887021,-87.765685,5611,W Corcoran Pl,Chicago,IL,Cook County,60644
