,long_date,Zip,total_num_crimes,crimes_per_capita,total_num_noise,month_year,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,total_listing_count,ZIP_CODE,Population,Income,311_Requests,Liquor_License_Counts,311_Per_Capita,Liquor_License_Per_Capita,School_rating,Bus_Stop_Ct,Bus_Stop_Per_Capita,L_Stop_Ct,L_Stop_Per_Capita,311-_Rat,Rat_Per_Capita,Pot_Hole_Count,Pothole_Per_Capita,Num_Rests,Rests_Per_Capita,starbucks_stores,Sbucks_Per_Capita,Public_Prop_Ct,Public_Prop_Per_Capita,Grocery_Store_Count,Grocery_Store_Per_Capita,Premium_Grocer,DOW_Close,30yr_Rates
18,1/1/2017,60629,13,0.000114051,0,201701,162300,155,58,96,117.1275253,1163.5,158000,263,60629,113984,42019,14734,54,0.129,0.000473751,3.3,242,0.002123105,2,1.75E-05,969,0.078000483,1174,0.094502133,244,0.019640988,1,8.77E-06,101,0.000886089,9,7.90E-05,0,19864.09,4.15
19,1/1/2017,60630,10,0.000182545,0,201701,315050,91,64.5,44,166.2726127,1249,328119,159,60630,54781,72092,9269,86,0.169,0.001569887,7,228,0.004162027,4,7.30E-05,979,0.078805442,1101,0.088625936,166,0.013362312,1,1.83E-05,57,0.001040507,5,9.13E-05,0,19864.09,4.15
20,1/1/2017,60631,0,0,0,201701,375050,75,64,28,204.1025641,1550,413730,116,60631,28832,91034,4598,52,0.159,0.001803552,8,63,0.002185072,2,6.94E-05,143,0.011510907,551,0.044353216,99,0.00796909,0,0,3,0.000104051,1,3.47E-05,0,19864.09,4.15
21,1/1/2017,60632,12,0.000137022,0,201701,189050,42,56,24,137.9189723,1220.5,195056,95,60632,87577,42758,14620,102,0.167,0.001164689,3.7,321,0.003665346,4,4.57E-05,682,0.054898173,911,0.073331723,306,0.024631731,2,2.28E-05,45,0.000513834,10,0.000114185,0,19864.09,4.15
22,1/1/2017,60636,12,0.000233232,0,201701,49450,88,111.5,24,33.16218873,1105,55449,112,60636,51451,27310,14821,26,0.288,0.000505335,2.3,223,0.004334221,2,3.89E-05,931,0.074941641,412,0.033164292,96,0.007727602,0,0,1311,0.025480554,3,5.83E-05,0,19864.09,4.15
23,1/1/2017,60637,19,0.000332808,0,201701,131550,70,79,28,80.6042885,1444,223903,116,60637,57090,28785,8261,39,0.145,0.000683132,2.5,296,0.005184796,4,7.01E-05,282,0.022699831,386,0.0310714,116,0.009337519,3,5.25E-05,779,0.013645122,4,7.01E-05,0,19864.09,4.15
24,1/1/2017,60640,10,0.00013508,0,201701,238050,175,64,96,178.4274194,840,347677,251,60640,74030,53831,6096,182,0.082,0.002458463,3.3,173,0.00233689,12,0.000162096,360,0.028978508,503,0.040489415,328,0.02640264,3,4.05E-05,22,0.000297177,9,0.000121572,0,19864.09,4.15
25,1/1/2017,60641,16,0.000216732,0,201701,348550,91,56,52,149.8333333,1200,429900,148,60641,73824,60073,10767,99,0.146,0.001341027,3.8,230,0.003115518,2,2.71E-05,1014,0.081622796,767,0.06174032,202,0.016260163,1,1.35E-05,14,0.00018964,3,4.06E-05,0,19864.09,4.15
26,1/1/2017,60644,6,0.000101593,0,201701,80050,59,107.5,12,49.14004914,1160,98514,82,60644,59059,27262,9066,20,0.154,0.000338644,1.8,192,0.003250986,10,0.000169322,432,0.034774209,376,0.030266441,120,0.009659503,0,0,499,0.008449178,3,5.08E-05,0,19864.09,4.15
27,1/1/2017,60647,44,0.000445484,0,201701,532000,147,45,116,190.8928571,1142.5,631051,273,60647,98769,73443,14758,382,0.149,0.00386761,3.1,278,0.002814648,6,6.07E-05,1482,0.119294856,710,0.057152057,431,0.034693713,4,4.05E-05,125,0.001265579,15,0.00015187,0,19864.09,4.15
28,1/1/2017,60653,7,0.000202887,0,201701,289050,75,66.5,44,121.9043617,1840.5,310299,156,60653,34502,29569,5851,31,0.17,0.000898499,2.7,127,0.003680946,6,0.000173903,186,0.014972229,168,0.013523304,82,0.00660066,0,0,780,0.022607385,2,5.80E-05,0,19864.09,4.15
