long_date,Zip,permit_count
02/1/2018,60620,10
02/1/2018,60621,10
02/1/2018,60622,29
02/1/2018,60623,12
02/1/2018,60624,20
02/1/2018,60625,15
02/1/2018,60626,7
02/1/2018,60628,12
02/1/2018,60629,11
02/1/2018,60630,10
02/1/2018,60631,5
02/1/2018,60632,14
02/1/2018,60633,1
02/1/2018,60634,16
02/1/2018,60636,12
02/1/2018,60637,15
02/1/2018,60638,15
02/1/2018,60639,11
02/1/2018,60640,11
02/1/2018,60641,9
02/1/2018,60642,9
02/1/2018,60643,10
02/1/2018,60644,8
02/1/2018,60645,11
02/1/2018,60647,26
02/1/2018,60649,15
02/1/2018,60651,12
02/1/2018,60652,7
02/1/2018,60653,4
02/1/2018,60654,9
02/1/2018,60655,5
02/1/2018,60656,1
02/1/2018,60657,19
02/1/2018,60659,8
02/1/2018,60660,4
02/1/2018,60661,31
02/1/2019,60602,32
02/1/2019,60605,3
02/1/2019,60607,13
02/1/2019,60608,15
02/1/2019,60609,13
02/1/2019,60610,34
02/1/2019,60611,3
02/1/2019,60612,14
02/1/2019,60613,14
02/1/2019,60614,22
02/1/2019,60615,1
02/1/2019,60616,9
02/1/2019,60617,14
02/1/2019,60618,20
02/1/2019,60619,15
02/1/2019,60620,14
02/1/2019,60621,5
02/1/2019,60622,18
02/1/2019,60623,19
02/1/2019,60624,10
02/1/2019,60625,14
02/1/2019,60626,4
02/1/2019,60628,17
02/1/2019,60629,8
02/1/2019,60630,8
02/1/2019,60631,5
02/1/2019,60632,21
02/1/2019,60633,1
02/1/2019,60634,11
02/1/2019,60636,11
02/1/2019,60637,20
02/1/2019,60638,5
02/1/2019,60639,10
02/1/2019,60640,10
02/1/2019,60641,8
02/1/2019,60642,18
02/1/2019,60643,6
02/1/2019,60644,11
02/1/2019,60645,13
02/1/2019,60646,1
02/1/2019,60647,21
02/1/2019,60649,4
02/1/2019,60651,16
02/1/2019,60652,3
02/1/2019,60653,3
02/1/2019,60654,10
02/1/2019,60655,6
