Year,long_date,Zip,total_num_crimes,total_num_noise,month_year,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,total_listing_count,ZIP_CODE,Population,Income,311_Requests,Liquor_License_Counts,311_Per_Capita,Liquor_License_Per_Capita,School_rating,Bus_Stop_Ct,Bus_Stop_Per_Capita,L_Stop_Ct,L_Stop_Per_Capita,311-_Rat,Rat_Per_Capita,Pot_Hole_Count,Pothole_Per_Capita,Num_Rests,Rests_Per_Capita,starbucks_stores,Sbucks_Per_Capita,Public_Prop_Ct,Public_Prop_Per_Capita,Grocery_Store_Count,Grocery_Store_Per_Capita,Premium_Grocer,DOW_Close,30yr_Rates,predictions,Raw Diff,Abs Diff
2017,1/1/2017,60626,4,4,201701,160025,88,83,44,116.2651515,903.5,180250,150,60626,59251,31318,4082,419,0.069,0.007,2.9,98,0.001653981,10,0.000168774,492,0.03960396,153,0.012315866,198,0.015938179,3,5.06E-05,32,0.000540075,6,0.000101264,0,19864.09,4.15,149.3522707,-33.08711916,33.08711916
2017,1/1/2017,60629,13,13,201701,162300,155,58,96,117.1275253,1163.5,158000,263,60629,113984,40279,14734,225,0.129,0.002,3.3,242,0.002123105,2,1.75E-05,969,0.078000483,1174,0.094502133,244,0.019640988,1,8.77E-06,101,0.000886089,9,7.90E-05,0,19864.09,4.15,109.7279668,7.399558479,7.399558479
2017,1/1/2017,60630,10,10,201701,315050,91,64.5,44,166.2726127,1249,328119,159,60630,54781,47905,9269,369,0.169,0.007,7,228,0.004162027,4,7.30E-05,979,0.078805442,1101,0.088625936,166,0.013362312,1,1.83E-05,57,0.001040507,5,9.13E-05,0,19864.09,4.15,143.2596709,23.01294181,23.01294181
2017,1/1/2017,60631,0,0,201701,375050,75,64,28,204.1025641,1550,413730,116,60631,28832,55316,4598,249,0.159,0.009,8,63,0.002185072,2,6.94E-05,143,0.011510907,551,0.044353216,99,0.00796909,0,0,3,0.000104051,1,3.47E-05,0,19864.09,4.15,179.7214649,24.38109919,24.38109919
2017,1/1/2017,60632,12,12,201701,189050,42,56,24,137.9189723,1220.5,195056,95,60632,87577,37406,14620,410,0.167,0.005,3.7,321,0.003665346,4,4.57E-05,682,0.054898173,911,0.073331723,306,0.024631731,2,2.28E-05,45,0.000513834,10,0.000114185,0,19864.09,4.15,169.1069536,-31.18798134,31.18798134
2017,1/1/2017,60636,12,12,201701,49450,88,111.5,24,33.16218873,1105,55449,112,60636,51451,27727,14821,118,0.288,0.002,2.3,223,0.004334221,2,3.89E-05,931,0.074941641,412,0.033164292,96,0.007727602,0,0,1311,0.025480554,3,5.83E-05,0,19864.09,4.15,41.85322873,-8.691040004,8.691040004
2017,1/1/2017,60637,19,19,201701,131550,70,79,28,80.6042885,1444,223903,116,60637,57090,23228,8261,151,0.145,0.003,2.5,296,0.005184796,4,7.01E-05,282,0.022699831,386,0.0310714,116,0.009337519,3,5.25E-05,779,0.013645122,4,7.01E-05,0,19864.09,4.15,123.5719153,-42.96762677,42.96762677
2017,1/1/2017,60640,10,10,201701,238050,175,64,96,178.4274194,840,347677,251,60640,74030,32466,6096,695,0.082,0.009,3.3,173,0.00233689,12,0.000162096,360,0.028978508,503,0.040489415,328,0.02640264,3,4.05E-05,22,0.000297177,9,0.000121572,0,19864.09,4.15,195.2720374,-16.84461805,16.84461805
2017,1/1/2017,60641,16,16,201701,348550,91,56,52,149.8333333,1200,429900,148,60641,73824,42182,10767,394,0.146,0.005,3.8,230,0.003115518,2,2.71E-05,1014,0.081622796,767,0.06174032,202,0.016260163,1,1.35E-05,14,0.00018964,3,4.06E-05,0,19864.09,4.15,122.8344608,26.99887247,26.99887247
2017,1/1/2017,60644,6,6,201701,80050,59,107.5,12,49.14004914,1160,98514,82,60644,59059,26930,9066,88,0.154,0.001,1.8,192,0.003250986,10,0.000169322,432,0.034774209,376,0.030266441,120,0.009659503,0,0,499,0.008449178,3,5.08E-05,0,19864.09,4.15,89.78463393,-40.64458479,40.64458479
