long_date,Zip,total_num_crimes,total_num_noise,month_year,Full_date,short_date,zip_code,city_state,median_listing_price,active_listing_count,median_days_on_market,new_listing_count,median_listing_price_per_square_foot,median_square_feet,average_listing_price,total_listing_count
01/1/2017,60620,12,12,201701.0,01/1/2017,01/2017,60620.0,"chicago, il",123050.0,203.0,73.5,76.0,79.03895613,1225.0,117291.0,301.0
01/1/2017,60621,5,5,201701.0,01/1/2017,01/2017,60621.0,"chicago, il",43450.0,38.0,114.0,16.0,34.36845356,1100.0,49297.0,56.0
01/1/2017,60622,28,28,201701.0,01/1/2017,01/2017,60622.0,"chicago, il",519950.0,131.0,45.0,108.0,226.94791669999998,1300.0,657019.0,238.0
01/1/2017,60623,20,20,201701.0,01/1/2017,01/2017,60623.0,"chicago, il",79817.0,23.0,84.5,12.0,61.55038917,1209.0,146764.0,36.0
01/1/2017,60624,33,33,201701.0,01/1/2017,01/2017,60624.0,"chicago, il",92550.0,35.0,164.0,12.0,51.76060606,1344.0,100812.0,47.0
01/1/2017,60625,25,25,201701.0,01/1/2017,01/2017,60625.0,"chicago, il",313550.0,127.0,73.5,68.0,171.79157890000002,1216.0,473356.0,203.0
01/1/2017,60626,4,4,201701.0,01/1/2017,01/2017,60626.0,"chicago, il",160025.0,88.0,83.0,44.0,116.26515149999999,903.5,180250.0,150.0
01/1/2017,60628,13,13,201701.0,01/1/2017,01/2017,60628.0,"chicago, il",60050.0,261.0,91.0,88.0,45.7706229,1198.0,72460.0,354.0
01/1/2017,60629,13,13,201701.0,01/1/2017,01/2017,60629.0,"chicago, il",162300.0,155.0,58.0,96.0,117.1275253,1163.5,158000.0,263.0
01/1/2017,60630,10,10,201701.0,01/1/2017,01/2017,60630.0,"chicago, il",315050.0,91.0,64.5,44.0,166.2726127,1249.0,328119.0,159.0
01/1/2017,60631,0,0,201701.0,01/1/2017,01/2017,60631.0,"chicago, il",375050.0,75.0,64.0,28.0,204.1025641,1550.0,413730.0,116.0
01/1/2017,60632,12,12,201701.0,01/1/2017,01/2017,60632.0,"chicago, il",189050.0,42.0,56.0,24.0,137.91897230000004,1220.5,195056.0,95.0
01/1/2017,60633,2,2,201701.0,01/1/2017,01/2017,60633.0,"chicago, il",111550.0,41.0,65.0,16.0,90.78384194,1188.5,118397.0,59.0
01/1/2017,60634,18,18,201701.0,01/1/2017,01/2017,60634.0,"chicago, il",278800.0,161.0,66.0,96.0,164.76443840000002,1301.5,286022.0,274.0
01/1/2017,60636,12,12,201701.0,01/1/2017,01/2017,60636.0,"chicago, il",49450.0,88.0,111.5,24.0,33.16218873,1105.0,55449.0,112.0
01/1/2017,60637,19,19,201701.0,01/1/2017,01/2017,60637.0,"chicago, il",131550.0,70.0,79.0,28.0,80.6042885,1444.0,223903.0,116.0
01/1/2017,60638,7,7,201701.0,01/1/2017,01/2017,60638.0,"chicago, il",230050.0,142.0,70.0,84.0,168.7914634,1100.0,228574.0,231.0
01/1/2017,60639,12,12,201701.0,01/1/2017,01/2017,60639.0,"chicago, il",229450.0,74.0,61.0,24.0,147.8151429,1200.0,229039.0,117.0
01/1/2017,60640,10,10,201701.0,01/1/2017,01/2017,60640.0,"chicago, il",238050.0,175.0,64.0,96.0,178.42741940000002,840.0,347677.0,251.0
01/1/2017,60641,16,16,201701.0,01/1/2017,01/2017,60641.0,"chicago, il",348550.0,91.0,56.0,52.0,149.83333330000002,1200.0,429900.0,148.0
01/1/2017,60642,8,8,201701.0,01/1/2017,01/2017,60642.0,"chicago, il",485000.0,56.0,59.5,44.0,268.67816089999997,1323.0,514764.0,94.0
01/1/2017,60643,10,10,201701.0,01/1/2017,01/2017,60643.0,"chicago, il",160000.0,199.0,67.5,84.0,100.8056827,1401.5,194551.0,294.0
01/1/2017,60644,6,6,201701.0,01/1/2017,01/2017,60644.0,"chicago, il",80050.0,59.0,107.5,12.0,49.14004914,1160.0,98514.0,82.0
01/1/2017,60645,3,3,201701.0,01/1/2017,01/2017,60645.0,"chicago, il",189050.0,77.0,68.5,28.0,102.37987009999999,1100.0,237238.0,146.0
